,2.5,5.0,5.5,6.0,6.5,7.0,7.5,8.0,8.5,9.0,9.5,10.0,10.5,11.0,11.5,12.0,12.5,13.0,13.5,14.0,14.5,15.0,15.5,16.0,16.5,17.0,17.5,18.0,18.5,19.0,19.5,20.0,20.5,21.0,21.5,22.0,22.5,23.0,23.5,24.0,24.5,25.0,25.5,26.0,26.5,27.0,27.5,28.0,28.5,29.0,29.5,30.0,30.5,31.0,31.5,32.0,32.5,33.0,33.5,34.0,34.5,35.0,35.5,36.0,36.5,37.0,37.5,38.0,38.5,39.0,39.5,40.0,40.5,41.0,41.5,42.0,42.5,43.0,43.5,44.0,44.5,45.0,45.5,46.0,46.5,47.0,47.5,48.0,48.5,49.0,49.5,50.0,50.5,51.0,51.5,52.0,52.5,53.0,53.5,54.0,54.5,55.0,55.5,56.0,56.5,57.0,57.5,58.0,58.5,59.0,59.5,60.0,60.5,61.0,61.5,62.0,62.5,63.0,63.5,64.0,64.5,65.0,65.5,66.0,66.5,67.0,67.5,68.0,68.5,69.0,69.5,70.0,70.5,71.0,71.5,72.0,72.5,73.0,73.5,74.0,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,80.0,80.5,81.0,81.5,82.0,82.5,83.0,83.5,84.0,84.5,85.0,85.5,86.0,86.5,87.0,87.5,88.0,88.5,89.0,89.5,90.0,90.5,91.0,91.5,92.0,92.5,93.0,93.5,94.0,94.5,95.0,95.5,96.0,96.5,97.0,97.5,98.0,98.5,99.0,99.5,100.0,100.5,101.0,101.5,102.0,102.5,103.0,103.5,104.0,104.5,105.0,105.5,106.0,106.5,107.0,107.5,108.0,108.5,109.0,109.5,110.0,110.5,111.0,111.5,112.0,112.5,113.0,113.5,114.0,114.5,115.0,115.5,116.0,116.5,117.0,117.5,118.0,118.5,119.0,119.5,120.0,120.5,121.0,121.5,122.0,122.5,123.0,123.5,124.0,124.5,125.0,125.5,126.0,126.5,127.0,127.5,128.0,128.5,129.0,129.5,130.0,130.5,131.0,131.5,132.0,132.5,133.0,133.5,134.0,134.5,135.0,135.5,136.0,136.5,137.0,137.5,138.0,138.5,139.0,139.5,140.0,140.5,141.0,141.5,142.0,142.5,143.0,143.5,144.0,144.5,145.0,145.5,146.0,146.5,147.5,150.0,152.5,155.0,157.5,160.0,162.5,165.0,167.5,170.0,172.5,175.0,177.5,180.0,182.5,185.0,187.5,190.0,192.5,195.0,200.0,205.0,210.0,215.0,220.0,225.0,230.0,235.0,240.0
20200106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.24,,,,,21.93,,,,,19.72,,,,,,,,,,15.62,,,,,,,,,,11.96,,,,,,10.0,,,,8.78,8.49,8.2,7.91,7.63,7.35,7.08,6.81,6.55,6.29,6.04,5.79,5.54,,5.07,4.84,4.62,,,,3.79,,,,3.06,,,,2.44,2.3,2.17,,1.93,,,,,,,,1.22,,,,,,,,,,0.7,,,,,,,,,,0.46,,0.43,,,,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.21,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.14,,,,,,,,,,0.12,,,,,,,,,,0.1,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.89,,,,,20.64,,,,,18.49,,,,,,,,,,14.53,,,,,,,,,,11.06,,,,,,9.21,,,,8.05,7.77,7.49,7.22,6.95,6.69,6.44,6.18,5.94,5.7,5.46,5.23,5.0,,4.57,4.37,4.16,,,,3.42,,,,2.78,,,,2.23,2.11,2.0,,1.79,,,,,,,,1.17,,,,,,,,,,0.7,,,,,,,,,,0.48,,0.45,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22,,0.21,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.15,,,,,,,,,,0.13,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.13,,,,,20.84,,,,,18.65,,,,,,,,,,14.61,,,,,,,,,,11.06,,,,,,9.17,,,,7.98,7.7,7.41,7.14,6.86,6.59,6.33,6.07,5.82,5.57,5.33,5.1,4.86,,4.42,4.21,4.01,,,,3.24,,,,2.6,,,,2.05,1.93,1.82,,1.63,,,,,,,,1.03,,,,,,,,,,0.6,,,,,,,,,,0.42,,0.4,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.19,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,0.13,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.96,,,,,20.66,,,,,18.45,,,,,,,,,,14.39,,,,,,,,,,10.81,,,,,,8.9,,,,7.72,7.43,7.15,6.87,6.59,6.33,6.06,5.81,5.55,5.31,5.06,4.83,4.6,,4.16,3.95,3.75,,,,3.0,,,,2.36,,,,1.84,1.72,1.62,,1.43,,,,,,,,0.86,,,,,,,,,,0.5,,,,,,,,,,0.36,,0.34,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,0.14,,,,,,,,,,0.12,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.69,,,,,20.4,,,,,18.21,,,,,,,,,,14.18,,,,,,,,,,10.65,,,,,,8.77,,,,7.6,7.31,7.03,6.76,6.49,6.23,5.97,5.72,5.47,5.22,4.98,4.75,4.52,,4.09,3.88,3.68,,,,2.95,,,,2.32,,,,1.8,1.69,1.59,,1.41,,,,,,,,0.85,,,,,,,,,,0.49,,,,,,,,,,0.34,,0.32,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,0.17,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.12,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.84,,,,,20.53,,,,,18.32,,,,,,,,,,14.26,,,,,,,,,,10.68,,,,,,8.78,,,,7.6,7.31,7.03,6.75,6.48,6.22,5.95,5.7,5.44,5.2,4.96,4.72,4.49,,4.05,3.83,3.62,,,,2.86,,,,2.24,,,,1.73,1.62,1.52,,1.33,,,,,,,,0.79,,,,,,,,,,0.46,,,,,,,,,,0.32,,0.3,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.17,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,0.12,,,,,,,,,,0.1,,,,,,,,,,0.09,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,,,20.2,,,,,18.01,,,,,,,,,,13.97,,,,,,,,,,10.44,,,,,,8.57,,,,7.41,7.13,6.86,6.59,6.32,6.07,5.81,5.56,5.32,5.08,4.84,4.62,4.4,,3.97,3.77,3.57,,,,2.85,,,,2.26,,,,1.78,1.68,1.59,,1.41,,,,,,,,0.88,,,,,,,,,,0.53,,,,,,,,,,0.37,,0.35,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.19,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,0.13,,,,,,,,,,0.12,,,,,,,,,,0.11,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.73,,,,,20.42,,,,,18.2,,,,,,,,,,14.11,,,,,,,,,,10.53,,,,,,8.62,,,,7.45,7.17,6.89,6.61,6.34,6.08,5.82,5.57,5.32,5.08,4.84,4.61,4.38,,3.95,3.74,3.54,,,,2.8,,,,2.21,,,,1.73,1.63,1.53,,1.36,,,,,,,,0.84,,,,,,,,,,0.5,,,,,,,,,,0.36,,0.33,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.18,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.13,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.74,,,,,20.42,,,,,18.2,,,,,,,,,,14.11,,,,,,,,,,10.52,,,,,,8.62,,,,7.44,7.16,6.88,6.61,6.34,6.07,5.81,5.56,5.31,5.07,4.83,4.6,4.37,,3.94,3.73,3.53,,,,2.8,,,,2.2,,,,1.72,1.61,1.52,,1.35,,,,,,,,0.83,,,,,,,,,,0.49,,,,,,,,,,0.35,,0.33,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.18,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,0.13,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.98,,,,,20.65,,,,,18.43,,,,,,,,,,14.34,,,,,,,,,,10.75,,,,,,8.84,,,,7.66,7.38,7.1,6.82,6.55,6.29,6.03,5.77,5.52,5.28,5.04,4.81,4.58,,4.14,3.93,3.73,,,,2.98,,,,2.37,,,,1.86,1.75,1.65,,1.47,,,,,,,,0.91,,,,,,,,,,0.52,,,,,,,,,,0.35,,0.33,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,0.16,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,0.09,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,,,,,19.92,,,,,17.74,,,,,,,,,,13.74,,,,,,,,,,10.26,,,,,,8.41,,,,7.28,7.01,6.75,6.49,6.23,5.98,5.73,5.49,5.26,5.03,4.8,4.58,4.37,,3.96,3.77,3.58,,,,2.88,,,,2.29,,,,1.8,1.69,1.6,,1.42,,,,,,,,0.89,,,,,,,,,,0.6,,,,,,,,,,0.44,,0.42,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.21,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,0.14,,,,,,,,,,0.13,,,,,,,,,,0.11,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
